Radde's accentor,Prunellidae,Passeriformes,Prunella
Radde's warbler,Phylloscopidae,Passeriformes,Phylloscopus
Red-Fronted Serin,,,
Red-backed shrike,Laniidae,Passeriformes,Lanius
Red-billed chough,Corvidae,Passeriformes,Pyrrhocorax
Red-billed teal,Anatidae,Anseriformes,Anas
Red-billed tropicbird,Phaethontidae,Phaethontiformes,Phaethon
Red-breasted flycatcher,Muscicapidae,Passeriformes,Ficedula
Red-breasted goose,Anatidae,Anseriformes,Branta
Red-breasted merganser,Anatidae,Anseriformes,Mergus
Red-crested pochard,Anatidae,Anseriformes,Netta
Red-flanked bluetail,Muscicapidae,Passeriformes,Tarsiger
Red-footed falcon,Falconidae,Falconiformes,Falco
Red-headed bunting,Emberizidae,Passeriformes,Emberiza
,,,
Red-necked phalarope,Scolopacidae,Charadriiformes,Phalaropus
Red-necked stint,Scolopacidae,Charadriiformes,Calidris
Red-rumped swallow,Hirundinidae,Passeriformes,Cecropis
Red-rumped wheatear,Muscicapidae,Passeriformes,Oenanthe
Red-tailed shrike,Laniidae,Passeriformes,Lanius
Red-tailed wheatear,Muscicapidae,Passeriformes,Oenanthe
Red-throated pipit,Motacillidae,Passeriformes,Anthus
Red-wattled lapwing,Charadriidae,Charadriiformes,Vanellus
Red crossbill,Fringillidae,Passeriformes,Loxia
Red kite,Accipitridae,Accipitriformes,Milvus
Red knot,Scolopacidae,Charadriiformes,Calidris
Red phalarope,Scolopacidae,Charadriiformes,Phalaropus
Redwing,Turdidae,Passeriformes,Turdus
Richard's pipit,Motacillidae,Passeriformes,Anthus
Ring ouzel,Turdidae,Passeriformes,Turdus
River warbler,Locustellidae,Passeriformes,Locustella
Rock bunting,Emberizidae,Passeriformes,Emberiza
Rock dove,Columbidae,Columbiformes,Columba
Rock sparrow,Passeridae,Passeriformes,Petronia
Rook,,,
Rose-ringed parakeet,Psittaculidae,Psittaciformes,Psittacula
Roseate tern,Laridae,Charadriiformes,Sterna
Rosy starling,Sturnidae,Passeriformes,Pastor
Rough-legged buzzard,Accipitridae,Accipitriformes,Buteo
Ruddy shelduck,Anatidae,Anseriformes,Tadorna
Ruddy turnstone,Scolopacidae,Charadriiformes,Arenaria
Ruff,,,
Rufous-tailed scrub robin,Muscicapidae,Passeriformes,Cercotrichas
Rustic bunting,Emberizidae,Passeriformes,Emberiza
Bad title,,,
Bad title,,,
Sabine's gull,Laridae,Charadriiformes,Xema
Saker falcon,Falconidae,Falconiformes,Falco
Sand martin,Hirundinidae,Passeriformes,Riparia
Sand partridge,Phasianidae,Galliformes,Ammoperdix
Sanderling,Scolopacidae,Charadriiformes,Calidris
Sandwich tern,Laridae,Charadriiformes,Thalasseus
Sardinian warbler,Sylviidae,Passeriformes,Curruca
Savi's warbler,Locustellidae,Passeriformes,Locustella
Scopoli's shearwater,Procellariidae,Procellariiformes,Calonectris
Sedge warbler,Acrocephalidae,Passeriformes,Acrocephalus
Semicollared flycatcher,Muscicapidae,Passeriformes,Ficedula
Semipalmated sandpiper,Scolopacidae,Charadriiformes,Calidris
Senegal thick-knee,Burhinidae,Charadriiformes,Burhinus
Shikra,Accipitridae,Accipitriformes,Accipiter
Short-eared owl,Strigidae,Strigiformes,Asio
Short-toed snake eagle,Accipitridae,Accipitriformes,Circaetus
,,,
Siberian stonechat,Muscicapidae,Passeriformes,Saxicola
Sinai rosefinch,Fringillidae,Passeriformes,Carpodacus
Slender-billed curlew,Scolopacidae,Charadriiformes,Numenius
Slender-billed gull,Laridae,Charadriiformes,Chroicocephalus
